
--- EPHEMERIDES REPORT ---
Generated on: 2026-04-21 10:06:33
Start Date: 1000-06-21
End Date: 2000-06-21
Step Size: 10 years
--------------------------------------

PLANET: MERCURY
Date         | Time       | RA           | Dec          | Dist         | Elongation
1340-06-21   | 00:00:00   | 07h14m56s    | 23°15'49"    | 0.03 AU      | 17.229°
1350-06-21   | 00:00:00   | 11h55m13s    | -00°54'46"   | 0.01 AU      | 89.714°
1360-06-21   | 00:00:00   | 01h37m54s    | 09°21'06"    | 0.01 AU      | 64.019°
1370-06-21   | 00:00:00   | 06h33m18s    | 24°11'02"    | 0.03 AU      | 7.955°
1380-06-21   | 00:00:00   | 11h04m51s    | 05°13'53"    | 0.02 AU      | 75.039°
1390-06-21   | 00:00:00   | 00h36m11s    | 02°07'39"    | 0.01 AU      | 80.694°
1400-06-21   | 00:00:00   | 05h50m43s    | 24°19'15"    | 0.03 AU      | 1.789°
1410-06-21   | 00:00:00   | 10h16m45s    | 10°37'02"    | 0.02 AU      | 63.206°
1420-06-21   | 00:00:00   | 23h10m53s    | -08°30'22"   | 0.01 AU      | 104.158°
1430-06-21   | 00:00:00   | 05h06m56s    | 23°37'32"    | 0.02 AU      | 11.327°
1440-06-21   | 00:00:00   | 09h36m01s    | 14°38'23"    | 0.02 AU      | 51.801°
1450-06-21   | 00:00:00   | 20h30m27s    | -24°01'19"   | 0.01 AU      | 144.984°
1460-06-21   | 00:00:00   | 04h24m54s    | 22°09'30"    | 0.02 AU      | 21.794°
1470-06-21   | 00:00:00   | 08h54m38s    | 18°04'11"    | 0.02 AU      | 41.571°
1480-06-21   | 00:00:00   | 16h12m00s    | -25°49'21"   | 0.01 AU      | 155.376°
1490-06-21   | 00:00:00   | 03h38m27s    | 19°39'44"    | 0.02 AU      | 32.648°
1500-06-21   | 00:00:00   | 08h13m51s    | 20°44'14"    | 0.02 AU      | 31.866°
1510-06-21   | 00:00:00   | 13h41m28s    | -13°22'53"   | 0.01 AU      | 119.538°
1520-06-21   | 00:00:00   | 02h50m17s    | 16°07'08"    | 0.02 AU      | 44.367°
1530-06-21   | 00:00:00   | 07h33m01s    | 22°39'53"    | 0.03 AU      | 22.461°
1540-06-21   | 00:00:00   | 12h22m37s    | -03°58'35"   | 0.01 AU      | 97.285°
1550-06-21   | 00:00:00   | 01h59m20s    | 11°23'06"    | 0.02 AU      | 57.336°
1560-06-21   | 00:00:00   | 06h54m25s    | 23°47'23"    | 0.03 AU      | 12.842°
1570-06-21   | 00:00:00   | 11h25m39s    | 03°03'33"    | 0.01 AU      | 81.695°
1580-06-21   | 00:00:00   | 01h05m21s    | 05°24'24"    | 0.01 AU      | 72.644°
1590-06-21   | 00:00:00   | 06h12m02s    | 24°15'40"    | 0.03 AU      | 3.488°
1600-06-21   | 00:00:00   | 10h39m48s    | 08°24'56"    | 0.02 AU      | 68.411°
1610-06-21   | 00:00:00   | 23h54m10s    | -03°18'14"   | 0.01 AU      | 92.151°
1620-06-21   | 00:00:00   | 05h31m21s    | 23°57'43"    | 0.03 AU      | 6.635°
1630-06-21   | 00:00:00   | 09h56m17s    | 12°58'01"    | 0.02 AU      | 57.067°
